batch,point,distance,calc_lr_es,calc_lr_pol,calc_lr_disp,calc_lr_tot,ref_lr_es,ref_lr_pol,ref_lr_disp,ref_lr_tot,delta_lr_es,delta_lr_pol,delta_lr_disp,delta_lr_tot
000,0,3.9255281685605032,-700236891.7670367,-4444121.026222706,-745.4358599374867,-704681758.2291193,-33.14829674802064,-22.914295135971635,-251.69878340703983,-307.7613752910321,-700236858.61874,-4444098.11192757,-493.73707653044687,-704681450.467744
000,1,4.130739352746069,-476033124.252275,-3926520.1408188343,-341.65502297245575,-479959986.0481168,-29.72719628273957,-14.829246001291047,-130.6225393360686,-175.17898162009922,-476033094.5250787,-3926505.311572833,-211.03248363638716,-479959810.8691352
000,2,4.337063591974059,-348801667.78804076,-3375802.083910048,-172.63485597103372,-352177642.5068068,-26.562194768348647,-10.052922430474055,-73.21483177132333,-109.82994897014603,-348801641.225846,-3375792.0309876176,-99.42002419971038,-352177532.6768578
000,3,4.54435194398112,-268996641.80134135,-2961707.3382632732,-94.33347407667571,-271958443.4730787,-23.661019171219063,-7.035466326113735,-43.658445974971,-74.3549314723038,-268996618.1403222,-2961700.3027969473,-50.67502810170471,-271958369.11814725
000,4,4.752477028822315,-214401669.43116146,-2616865.4051122665,-54.94770239196269,-217018589.7839761,-21.031803850700467,-5.0439433957497855,-27.37471304627008,-53.45046029272034,-214401648.39935762,-2616860.3611688707,-27.572989345692612,-217018536.33351582
000,5,5.170832917461074,-144084888.22834378,-2108274.404463887,-21.657030044296853,-146193184.28983772,-16.577458312460873,-2.7411478247542647,-12.098223069195212,-31.41682920641035,-144084871.65088546,-2108271.6633160627,-9.558806975101641,-146193152.87300852
000,6,5.591468954187763,-100920628.0534865,-1813739.2529329956,-9.922300502413774,-102734377.22872,-13.094766704891798,-1.5795599569865235,-6.014015262597568,-20.68834192447589,-100920614.95871979,-1813737.6733730386,-3.9082852398162062,-102734356.54037806
000,7,6.013909978072409,-72456431.22729515,-1677581.0732823908,-5.0730209151495895,-74134017.37359846,-10.410176610535787,-0.9539563291122928,-3.260847041634835,-14.624979981282916,-72456420.81711854,-1677580.1193260618,-1.8121738735147543,-74134002.74861847
000,8,6.4377974434558825,-52961381.822340325,-1592257.460292548,-2.8164551126754294,-54553642.09908798,-8.347949490233338,-0.5991493362770566,-1.8899011540197566,-10.836999980530152,-52961373.474390835,-1592256.8611432116,-0.9265539586556728,-54553631.262088
000,9,7.07577532059651,-33962932.33548395,-1526926.69233042,-1.3070790624760547,-35489860.334893435,-6.104511739212204,-0.31704002692490274,-0.9175089465990757,-7.339060712736182,-33962926.230972216,-1526926.3752903931,-0.389570115876979,-35489852.99583272
000,10,7.715761922778767,-22304410.732939914,-1501145.6250848174,-0.6721181729317426,-23805557.030142903,-4.563223700443207,-0.17828781301181706,-0.48630348823099634,-5.227815001686021,-22304406.169716213,-1501145.4467970044,-0.18581468470074625,-23805551.8023279
000,11,8.357292761570347,-14902019.337433532,-1486370.0167579204,-0.3731014342800049,-16388389.727292886,-3.4827329429031946,-0.10542093484163928,-0.27573430011018785,-3.8638881778550216,-14902015.85470059,-1486369.9113369856,-0.09736713416981707,-16388385.863404708
020,0,3.2948493276767965,245904946.38477695,-4194416.099390507,-344.850326670727,241710185.4350598,-38.288965568411584,-18.489532349486772,-192.68262794546087,-249.46112586335923,245904984.67374253,-4194397.609858157,-152.16769872526612,241710434.89618564
020,1,3.483838109556337,182426527.3327301,-3661974.237240255,-182.97323959449724,178764370.12225026,-33.80798154226865,-11.780642280214536,-100.68058846698042,-146.2692122894636,182426561.14071167,-3661962.4565979745,-82.29265112751682,178764516.39146253
020,2,3.6749190193036263,136919259.81834683,-3152882.963106662,-105.49087956672349,133766271.3643606,-29.886616196674655,-7.944695980717267,-58.31617582448268,-96.14748800187459,136919289.70496303,-3152875.0184106813,-47.174703742240816,133766367.5118486
020,3,3.867781681697675,105189367.73058254,-2727329.1900749803,-64.718466819615,102461973.82204074,-26.48490037992634,-5.571514826337509,-36.36137515257273,-68.41779035883658,105189394.21548292,-2727323.618560154,-28.357091667042276,102462042.23983109
020,4,4.062173339029035,82808875.53769019,-2393206.849843234,-41.65928649526134,80415627.02856046,-23.538823909635948,-4.0209547945131945,-23.921361984331767,-51.481140688480906,82808899.0765141,-2393202.828888439,-17.737924510929574,80415678.50970115
020,5,4.454738443482194,54536838.64962549,-1969292.7642938942,-19.233662831575906,52567526.651668765,-18.76127722950068,-2.2283840034790785,-11.580886893840756,-32.57054812682051,54536857.410902716,-1969290.5359098907,-7.65277593773515,52567559.22221689
020,6,4.851324471262223,38042537.16909256,-1722770.0881342888,-9.878649166751433,36319757.2023091,-15.125205695523217,-1.3114897665416763,-6.213951498997556,-22.65064696106245,38042552.294298254,-1722768.7766445223,-3.6646976677538774,36319779.852956064
020,7,5.2510223383478545,27555724.684619367,-1585488.7166345417,-5.486277588658824,25970230.481707238,-12.322739943320467,-0.8072637116486057,-3.581404414519027,-16.7114080694881,27555737.00735931,-1585487.90937083,-1.904873174139797,25970247.19311531
020,8,5.653170862138846,20508968.968788818,-1502979.3861012012,-3.2358245194710387,19005986.3468631,-10.137492814824437,-0.5151205629197975,-2.178031085761442,-12.830644463505678,20508979.10628163,-1502978.8709806383,-1.0577934337095964,19005999.17750756
020,9,6.259956058595373,13713596.846861668,-1428494.4518059045,-1.599039681898165,12285100.796016082,-7.691991620315778,-0.27753100925157526,-1.1157428155688889,-9.085265445136242,13713604.538853288,-1428494.1742748953,-0.48329686632927604,12285109.881281527
020,10,6.870007154872157,9572239.836619742,-1382422.9126795009,-0.8568210330297718,8189816.067119208,-5.944764908630865,-0.15801518554181815,-0.6141691261431172,-6.716949220315801,9572245.78138465,-1382422.7546643154,-0.2426519068866545,8189822.784068429
020,11,7.482526921564404,6957670.422566891,-1356932.3129459918,-0.48897326052716666,5600737.620647638,-4.6716385103445175,-0.09421251256259833,-0.3577309414419641,-5.12358196434908,6957675.094205401,-1356932.2187334793,-0.13124231908520256,5600742.744229603
040,0,4.028342004983811,230858517.29437286,-5033521.9203109145,-333.816965341031,225824661.5570966,-35.60518489664505,-18.418552112789754,-170.7893085568908,-224.8130455663256,230858552.89955774,-5033503.501758802,-163.0276567841402,225824886.37014216
040,1,4.226427734712842,244196346.5119477,-4394319.917930841,-175.48032915072142,239801851.1136877,-32.02248002500542,-12.152745646135294,-92.38724637067249,-136.5624720418132,244196378.5344277,-4394307.765185195,-83.09308278004893,239801987.67615974
040,2,4.4254540914005505,232474495.22138944,-3791998.62004596,-98.87564779531179,228682397.7256957,-28.622369245051807,-8.308259114630815,-53.68574795850684,-90.61637631818945,232474523.8437587,-3791990.3117868453,-45.189899836804955,228682488.342072
040,3,4.625300657182533,209479748.03405225,-3354401.7008551955,-59.03021285200083,206125287.3029842,-25.49379077318468,-5.840187502601793,-33.08716382497654,-64.42114210076302,209479773.52784303,-3354395.860667693,-25.943049027024287,206125351.7241263
040,4,4.825865432702337,183176208.53942582,-2992666.9252828956,-36.98527790351212,180183504.62886503,-22.670007787764984,-4.200487616650271,-21.392593620030688,-48.26308902444595,183176231.20943362,-2992662.724795279,-15.592684283481432,180183552.89195406
040,5,5.228817940248162,134512919.65482908,-2433014.086545557,-16.297154707076515,132079889.27112882,-17.924228641589433,-2.297938163209622,-9.988680296119307,-30.210847100918365,134512937.57905772,-2433011.7886073934,-6.308474410957208,132079919.48197591
040,6,5.633765510500219,97354745.50821002,-2097076.0401313156,-8.084692326217326,95257661.38338637,-14.23801995929652,-1.3350811881510332,-5.202257342282863,-20.775358489730415,97354759.74622998,-2097074.7050501273,-2.8824349839344627,95257682.15874486
040,7,6.040307785953206,70889752.62961742,-1897719.9858296067,-4.382228553291948,68992028.26155926,-11.397803124672473,-0.8139967632952558,-2.932590892574206,-15.144390780541935,70889764.02742055,-1897719.1718328435,-1.449637660717742,68992043.40595004
040,8,6.448141212656963,52328795.348269716,-1760013.6483787224,-2.5430073257279244,50568779.156883664,-9.207760147686207,-0.5164620541410905,-1.7555161583133752,-11.479738360140672,52328804.55602986,-1760013.1319166683,-0.7874911674145493,50568790.63662203
040,9,7.061827603204395,34213413.78338339,-1629423.5532609522,-1.2394657641769609,32583988.990656674,-6.806804887994085,-0.27754362344656336,-0.8860285129983131,-7.970377024438961,34213420.59018828,-1629423.2757173288,-0.35343725117864777,32583996.9610337
040,10,7.677339039100748,23213643.450133957,-1547471.1161936596,-0.6605033412788651,21666171.673436955,-5.138914872052313,-0.15842656472135896,-0.4840384871165081,-5.78137992389018,23213648.58904883,-1547470.957767095,-0.17646485416235702,21666177.454816878
040,11,8.294268684307777,16319663.136413287,-1498567.108806964,-0.37676578733780197,14821095.650840536,-3.9565536495361164,-0.09499738991788798,-0.28114010163515823,-4.332691141089162,16319667.092966937,-1498567.013809574,-0.09562568570264374,14821099.983531676
060,0,4.986373945999814,451217453.2332179,-3644978.7742259502,-140.53011706847752,447572333.92887485,-21.359015243928326,-11.678416035898891,-105.9015294172581,-138.93896069708532,451217474.5922331,-3644967.095809914,-34.62858765121942,447572472.8678355
060,1,5.195596109758692,378919307.7530393,-3351689.1966804266,-70.01387653386332,375567548.5424823,-19.35265126746808,-7.329965289700638,-53.27496566894867,-79.95758222611738,378919327.10569054,-3351681.866715137,-16.738910864914658,375567628.50006455
060,2,5.405073607135614,310445683.03412384,-3082756.232536733,-37.698520977647206,307362889.10306615,-17.40372859250612,-4.843582760096211,-28.848060792189408,-51.09537214479174,310445700.43785244,-3082751.388953973,-8.850460185457798,307362940.1984383
060,3,5.6147782186605815,252159919.61474282,-2790355.7509200573,-21.775502316033673,249369542.08832043,-15.622256260276837,-3.3377309932783117,-16.734274842321526,-35.694262095876674,252159935.23699906,-2790352.4131890642,-5.041227473712148,249369577.78258252
060,4,5.824685438169342,204885445.73832124,-2529515.423621416,-13.363531056373375,202355916.95116878,-14.03587711976509,-2.3797474688815505,-10.311191395883885,-26.726815984530525,204885459.77419835,-2529513.043873947,-3.0523396604894906,202355943.67798477
060,5,6.245025426907157,137556831.0357184,-2130925.919283867,-5.8154447197178385,135425899.30098984,-11.411531884302203,-1.3084822030415353,-4.525077500676696,-17.245091588020436,137556842.4472503,-2130924.6108016637,-1.2903672190411424,135425916.54608142
060,6,6.665957586751911,95191379.85120758,-1894003.3376973867,-2.9194853258143034,93297373.59402487,-9.38666476711719,-0.7773146332205911,-2.2905566415912406,-12.454536041929023,95191389.23787235,-1894002.5603827536,-0.6289286842230628,93297386.0485609
060,7,7.0873732606143705,67882193.12850079,-1756592.488137409,-1.6209011609585005,66125599.01946222,-7.8108344808628285,-0.48844244600894626,-1.2809016501684853,-9.580178577040261,67882200.93933527,-1756591.999694963,-0.3399995107900151,66125608.599640794
060,8,7.509194930917098,49726966.41792378,-1690946.937550798,-0.9683685951583271,48036018.51200438,-6.568836374609527,-0.32038107876392274,-0.7696935437027719,-7.658910997076221,49726972.986760154,-1690946.6171697192,-0.1986750514555552,48036026.17091538
060,9,8.142545364461963,32567786.421893016,-1627026.621461019,-0.49411779721562665,30940759.3063142,-5.1560506296839,-0.18110666321036462,-0.3952281324213405,-5.732385425315606,32567791.577943645,-1627026.4403543556,-0.09888966479428618,30940765.038699627
060,10,8.776498508305712,22314321.721972093,-1589233.1342533752,-0.2752116262268003,20725088.312507093,-4.1220122829521095,-0.10851668298387729,-0.22104767593593738,-4.451576641871924,22314325.843984377,-1589233.0257366924,-0.054163950290862906,20725092.764083736
060,11,9.410929128409947,15902833.35028702,-1566560.0323904753,-0.16354414845561405,14336273.154352397,-3.3476611251119377,-0.0680808541243243,-0.13171336356251018,-3.5474553427987723,15902836.697948145,-1566559.9643096211,-0.03183078489310387,14336276.70180774
080,0,2.936318559141959,-243370976.65006557,-4701560.476960242,-305.58465623658833,-248072842.71168205,-14.277545414038645,-9.611477133804765,-173.30188151165387,-197.19090405949729,-243370962.37252015,-4701550.865483108,-132.28277472493446,-248072645.520778
080,1,3.156455612432442,-134180577.80673549,-4000387.3331907988,-153.96957963231148,-138181119.10950592,-12.345266194939317,-6.443090835430439,-89.0048655480574,-107.79322257842715,-134180565.4614693,-4000380.890099963,-64.96471408425408,-138181011.31628335
080,2,3.3801370659387384,-80725571.22636682,-3389084.924750313,-85.18131408741579,-84114741.33243121,-10.586217853836633,-4.534105313652885,-50.50401176308875,-65.62433493057827,-80725560.64014897,-3389080.3906449997,-34.67730232432704,-84114675.70809628
080,3,3.6067031658070943,-51572367.692230254,-2913936.0360770524,-50.59274757437963,-54486354.32105488,-9.069712574184464,-3.2930569697264946,-30.898984793139398,-43.261754337050355,-51572358.62251768,-2913932.743020083,-19.69376278124023,-54486311.05930055
080,4,3.8356432167867163,-33781534.518855214,-2566225.9935518056,-31.699524242522337,-36347792.211931266,-7.786425863866051,-2.4425664158931797,-19.971901894898792,-30.200894174658025,-33781526.73242935,-2566223.55098539,-11.727622347623544,-36347762.01103709
080,5,4.299123869677811,-13729981.71092579,-2111650.9371238947,-13.96533193690478,-15841646.61338162,-5.802269025991607,-1.4007666534752579,-9.326371073458995,-16.52940675292586,-13729975.908656763,-2111649.536357241,-4.638960863445785,-15841630.083974868
080,6,4.768254418666974,-3694485.7377933487,-1829675.2334018052,-6.866971960925347,-5524167.838167115,-4.406163518909165,-0.835407038860124,-4.805937065624832,-10.047507623394122,-3694481.33162983,-1829674.3979947662,-2.061034895300515,-5524157.790659492
080,7,5.241516760580397,1288256.8916986752,-1650769.403292071,-3.657714574239432,-362516.1693079701,-3.418420657806561,-0.5140961226156939,-2.6509234753870645,-6.58344025580932,1288260.310119333,-1650768.8891959484,-1.0067910988523674,-362509.5858677143
080,8,5.717885700851483,3538273.2492103092,-1556374.0920389183,-2.0738479816847817,1981897.0833234093,-2.7095093299968736,-0.3254113652734638,-1.5416868385194564,-4.576607533789794,3538275.958719639,-1556373.766627553,-0.5321611431653253,1981901.659930943
080,9,6.4367550676304806,4456865.5801029,-1488243.138464138,-0.9711748468683259,2968621.4704639153,-1.9822246409342528,-0.17204252735366632,-0.740843831391018,-2.895110999678937,4456867.562327541,-1488242.9664216104,-0.23033101547730794,2968624.365574915
080,10,7.159414478722038,4228192.799140628,-1462999.2030037306,-0.49658490966139524,2765193.0995519883,-1.5029580306816088,-0.0959077972306761,-0.38514067783412115,-1.984006505746406,4228194.302098659,-1462999.1070959333,-0.11144423182727409,2765195.083558494
080,11,7.884823672264265,3714621.539888151,-1454066.9381604306,-0.272196820608583,2260554.3295309,-1.1720032555765494,-0.05603282708248414,-0.21346503305320316,-1.4415011157122366,3714622.7118914067,-1454066.8821276035,-0.05873178755537986,2260555.771032016
100,0,3.837015142130719,81743120.42776026,-3571848.526174277,-608.2684477398298,78170663.63313824,-9.716336185182607,-15.149179155093853,-273.76876018335975,-298.63427552363623,81743130.14409645,-3571833.376995122,-334.49968755647,78170962.26741377
